Age,MonthlyIncome,JobLevel,YearsAtCompany,JobInvolvement,Attrition_Target,OverTime_Target,JobSatisfaction,PerformanceRating
41,5993,2,6,3,1,1,4,3
49,5130,2,10,2,0,0,2,4
37,2090,1,0,2,1,1,3,3
33,2909,1,8,3,0,1,3,3
27,3468,1,2,3,0,0,2,3
32,3068,1,7,3,0,0,4,3
59,2670,1,1,4,0,1,1,4
30,2693,1,1,3,0,0,3,4
38,9526,3,9,2,0,0,3,4
36,5237,2,7,3,0,0,3,3
35,2426,1,5,4,0,0,2,3
29,4193,2,9,2,0,1,3,3
31,2911,1,5,3,0,0,3,3
34,2661,1,2,3,0,0,4,3
28,2028,1,4,2,1,1,3,3
29,9980,3,10,4,0,0,1,3
32,3298,1,6,4,0,1,2,3
22,2935,1,1,4,0,1,4,3
53,15427,4,25,2,0,0,4,3
38,3944,1,3,3,0,1,4,3
24,4011,2,4,4,0,0,3,3
36,3407,1,5,2,1,0,1,4
34,11994,3,12,3,0,0,2,3
21,1232,1,0,3,0,0,4,3
34,2960,1,4,3,1,0,1,3
53,19094,5,14,3,0,0,3,3
32,3919,1,10,1,1,1,1,4
42,6825,2,9,3,0,0,2,3
44,10248,3,22,2,0,0,4,3
46,18947,5,2,3,0,0,1,3
33,2496,1,1,3,0,0,4,3
44,6465,2,4,3,0,1,4,3
30,2206,1,10,2,0,0,3,3
39,2086,2,1,3,1,0,4,3
24,2293,1,2,3,1,1,4,3
43,2645,1,5,4,0,0,3,3
50,2683,1,3,2,1,1,3,3
35,2014,1,2,3,0,0,4,3
36,3419,1,1,2,0,1,1,3
33,5376,2,5,4,0,0,1,3
35,1951,1,1,3,0,0,4,3
27,2341,1,1,3,0,0,1,3
26,2293,1,1,1,1,0,3,3
27,8726,3,9,3,0,0,3,3
30,4011,2,12,3,0,0,4,4
41,19545,5,22,3,1,0,3,3
34,4568,2,9,3,0,0,3,4
37,3022,1,1,3,0,0,2,4
46,5772,2,9,3,0,1,4,4
35,2269,1,1,4,0,0,4,3
48,5381,3,1,2,1,1,3,3
28,3441,1,2,3,1,1,3,3
44,5454,2,4,3,0,1,1,4
35,9884,3,4,2,0,1,1,3
26,4157,2,2,2,0,1,4,3
33,13458,3,15,3,0,1,4,3
35,9069,3,9,3,0,0,1,4
35,4014,1,2,3,0,1,1,3
31,5915,2,7,3,0,0,4,4
37,5993,2,7,2,0,0,3,3
32,6162,2,9,3,0,1,4,4
38,2406,2,10,3,0,0,4,3
50,18740,5,27,2,0,1,3,3
59,7637,3,21,3,0,0,1,3
36,10096,3,17,3,0,0,3,3
55,14756,4,5,3,0,1,3,3
36,6499,2,6,2,0,0,2,3
45,9724,3,1,3,0,0,1,3
35,2194,1,3,3,0,0,1,3
36,3388,1,1,2,1,1,3,3
59,5473,2,4,2,0,0,3,3
29,2703,1,5,3,0,0,2,4
31,2501,1,1,3,0,0,2,3
32,6220,2,10,3,0,0,2,3
36,3038,1,1,4,0,0,4,3
31,4424,2,11,3,0,0,4,4
35,4312,2,15,2,0,0,1,3
45,13245,3,0,3,0,1,1,3
37,13664,3,5,3,0,0,3,3
46,5021,2,4,3,0,1,2,4
30,5126,2,10,2,0,1,4,3
35,2859,1,6,2,0,0,3,3
55,10239,3,1,3,0,0,4,3
38,5329,2,13,1,0,1,4,3
34,4325,2,5,3,0,0,2,3
56,7260,3,6,1,0,0,4,3
23,2322,1,0,3,0,0,1,3
51,2075,1,4,3,0,0,4,4
30,4152,2,11,2,0,0,4,3
46,9619,3,9,2,1,0,4,3
40,13503,4,22,2,0,0,2,4
51,5441,2,10,3,0,1,4,4
30,5209,2,11,2,0,1,2,3
46,10673,3,10,2,0,1,1,3
32,5010,2,11,3,0,0,3,3
54,13549,3,4,3,0,0,3,3
24,4999,2,3,3,0,0,3,4
28,4221,2,5,3,0,0,3,3
58,13872,4,37,3,0,0,3,3
44,2042,2,3,3,0,0,2,3
37,2073,1,3,3,1,1,1,4
32,2956,1,1,3,0,0,1,3
20,2926,1,1,2,1,1,4,3
34,4809,2,16,3,0,0,3,3
37,5163,2,1,2,0,0,4,3
59,18844,5,3,2,0,0,4,4
50,18172,5,8,3,0,1,2,3
25,5744,2,6,2,1,1,3,3
25,2889,1,2,2,0,0,4,3
22,2871,1,0,3,0,0,4,3
51,7484,3,13,2,0,0,1,4
